Power Status,Network Signal Strength,Activity,Background Processes,DeviceIsOnline
On,Strong,Active,Running,Yes
On,Strong,Active,Stopped,Yes
On,Strong,Inactive,Running,Yes
On,Strong,Inactive,Stopped,Yes
On,Weak,Active,Running,Yes
On,Weak,Active,Stopped,Yes
On,Weak,Inactive,Running,Yes
On,Weak,Inactive,Stopped,No
Off,Strong,Active,Running,No
Off,Strong,Active,Stopped,No
Off,Strong,Inactive,Running,No
Off,Strong,Inactive,Stopped,No
Off,Weak,Active,Running,No
Off,Weak,Active,Stopped,No
Off,Weak,Inactive,Running,No
Off,Weak,Inactive,Stopped,No
On,Strong,Active,Running,Yes
On,Strong,Active,Stopped,Yes
On,Strong,Inactive,Running,Yes
On,Strong,Inactive,Stopped,Yes
On,Weak,Active,Running,Yes
On,Weak,Active,Stopped,Yes
On,Weak,Inactive,Running,Yes
On,Weak,Inactive,Stopped,No
Off,Strong,Active,Running,No
Off,Strong,Active,Stopped,No
Off,Strong,Inactive,Running,No
Off,Strong,Inactive,Stopped,No
Off,Weak,Active,Running,No
Off,Weak,Active,Stopped,No
Off,Weak,Inactive,Running,No
Off,Weak,Inactive,Stopped,No
On,Strong,Active,Running,Yes
On,Strong,Active,Stopped,Yes
On,Strong,Inactive,Running,Yes
On,Strong,Inactive,Stopped,Yes
On,Weak,Active,Running,Yes
On,Weak,Active,Stopped,Yes
On,Weak,Inactive,Running,Yes
On,Weak,Inactive,Stopped,No
Off,Strong,Active,Running,No
Off,Strong,Active,Stopped,No
Off,Strong,Inactive,Running,No
Off,Strong,Inactive,Stopped,No
Off,Weak,Active,Running,No
Off,Weak,Active,Stopped,No
Off,Weak,Inactive,Running,No
Off,Weak,Inactive,Stopped,No
On,Strong,Active,Running,Yes
On,Strong,Active,Stopped,Yes
On,Strong,Inactive,Running,Yes
On,Strong,Inactive,Stopped,Yes
On,Weak,Active,Running,Yes
On,Weak,Active,Stopped,Yes
On,Weak,Inactive,Running,Yes
On,Weak,Inactive,Stopped,No
Off,Strong,Active,Running,No
Off,Strong,Active,Stopped,No
Off,Strong,Inactive,Running,No
Off,Strong,Inactive,Stopped,No
Off,Weak,Active,Running,No
Off,Weak,Active,Stopped,No
Off,Weak,Inactive,Running,No
Off,Weak,Inactive,Stopped,No
On,Strong,Active,Running,Yes
On,Strong,Active,Stopped,Yes
On,Strong,Inactive,Running,Yes
On,Strong,Inactive,Stopped,Yes
On,Weak,Active,Running,Yes
On,Weak,Active,Stopped,Yes
On,Weak,Inactive,Running,Yes
On,Weak,Inactive,Stopped,No
Off,Strong,Active,Running,No
Off,Strong,Active,Stopped,No
Off,Strong,Inactive,Running,No
Off,Strong,Inactive,Stopped,No
Off,Weak,Active,Running,No
Off,Weak,Active,Stopped,No
Off,Weak,Inactive,Running,No
Off,Weak,Inactive,Stopped,No
On,Strong,Active,Running,Yes
On,Strong,Active,Stopped,Yes
On,Strong,Inactive,Running,Yes
On,Strong,Inactive,Stopped,Yes
On,Weak,Active,Running,Yes
On,Weak,Active,Stopped,Yes
On,Weak,Inactive,Running,Yes
On,Weak,Inactive,Stopped,No
Off,Strong,Active,Running,No
Off,Strong,Active,Stopped,No
Off,Strong,Inactive,Running,No
